Temperature,Treatment,tube_Identifier_ARQ_RNA,comments,test1Plate_Well,test1_Cp1,all_productsPrimersPlate_Well,all_productsPrimers_Cp1,product_difference,adjustment_value,test1_adjusted,dif_adjusted
Normal,No Hormone,Norm_NH_D_8059,,A4,32.59,A16,36.83,4.24,1.648974129,34.23897413,2.591025871
Normal,No Hormone,Norm_NH_E_8060,only 10 microliters,C4,40,C16,40,0,#NUM!,#NUM!,#NUM!
Normal,Uniconizole,Norm_UCN_A_8066,,E4,32.56,E16,35.95,3.39,1.468209811,34.02820981,1.921790189
Normal,Uniconizole,Norm_UCN_B_8067,,G4,31.16,G16,34.78,3.62,1.554712081,32.71471208,2.065287919
Normal,Uniconizole,Norm_UCN_C_8068,,I4,31.31,I16,34.81,3.5,1.523795921,32.83379592,1.976204079
Normal,Uniconizole,Norm_UCN_D_8069,,K4,31.07,K16,34.37,3.3,1.483609192,32.55360919,1.816390808
Normal,Uniconizole,Norm_UCN_E_8070,,M4,31.65,M15,35.84,4.19,1.663925012,33.31392501,2.526074988
Normal,PAC,Norm_PAC_A_8076,,O4,33.88,O16,40,6.12,1.953188294,35.83318829,4.166811706
Normal,PAC,Norm_PAC_B_8077,,A5,31.17,A17,35.2,4.03,1.643637952,32.81363795,2.386362048
Normal,PAC,Norm_PAC_C_8078,,C5,34.35,C17,39.29,4.94,1.736794719,36.08679472,3.203205281
Normal,PAC,Norm_PAC_D_8079,,E5,32.07,E17,35.79,3.72,1.553468011,33.62346801,2.166531989
Normal,PAC,Norm_PAC_E_8080,,G5,32.41,G17,36.7,4.29,1.663801775,34.07380178,2.626198225
Normal,PCZ,Norm_PCZ_A_8086,,I5,31.61,I17,34.97,3.36,1.484220706,33.09422071,1.875779294
Normal,PCZ,Norm_PCZ_B_8087,,K5,32.35,K17,35.79,3.44,1.48452356,33.83452356,1.95547644
Normal,PCZ,Norm_PCZ_C_8088,,M4,31.65,M17,35.39,3.74,1.568548096,33.2185481,2.171451904
Normal,PCZ,Norm_PCZ_D_8089,,O5,32.4,O17,35.45,3.05,1.392566243,33.79256624,1.657433757
Normal,PCZ,Norm_PCZ_E_8090,,A6,31.37,A18,35.55,4.18,1.669537873,33.03953787,2.510462127
Normal,Quilt,Norm_QUI_A_9096,,C6,31.2,C18,35.4,4.2,1.678392088,32.87839209,2.521607912
Normal,Quilt,Norm_QUI_B_8097,,E6,30.8,E18,34.81,4.01,1.649589087,32.44958909,2.360410913
Normal,Quilt,Norm_QUI_C_8098,,G6,32.96,G18,40,7.04,2.128270185,35.08827019,4.911729815
Normal,Quilt,Norm_QUI_D_8099,,I6,31.83,I18,35.95,4.12,1.644605038,33.47460504,2.475394962
Normal,Quilt,Norm_QUI_E_8100,,K6,31.44,K18,35.13,3.69,1.56300137,33.00300137,2.12699863
