"","height_data","LW","LN","P","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"Height.86",136.558913149481,0,0,0,"B","B","B","A","B","A","B","A","A","B","A","A","B","A","A","A","A","A","A","B"
"Height.87",139.76299284251,0,0,0,"B","B","B","A","B","A","B","A","A","A","B","A","A","B","B","A","A","A","B","A"
"Height.88",131.916846905547,0,0,0,"B","B","B","A","B","A","A","B","B","B","A","B","A","B","A","B","B","A","B","A"
"Height.89",134.354441581982,0,0,0,"B","B","B","A","B","A","A","B","B","A","B","B","B","A","B","A","A","B","A","A"
"Height.90",133.716739138458,0,0,0,"B","B","B","A","B","A","A","B","A","B","B","B","B","B","A","B","A","A","A","B"
"Height.91",138.561723195279,0,0,0,"B","B","B","A","B","A","A","B","A","A","A","B","A","A","A","A","A","B","B","A"
"Height.92",134.324192517171,0,0,0,"B","B","B","A","B","A","A","A","B","B","A","A","A","A","A","A","B","B","B","A"
"Height.93",138.333497007029,0,0,0,"B","B","B","A","B","A","A","A","B","A","B","B","B","A","B","A","B","B","B","A"
"Height.94",136.851416841006,0,0,0,"B","B","B","A","B","A","A","A","A","B","A","B","A","B","A","A","A","A","A","B"
"Height.95",140.65428359355,0,0,0,"B","B","B","A","B","A","A","A","A","A","B","B","A","A","B","B","B","B","A","A"
"Height.96",132.635283261784,0,0,0,"B","B","B","A","A","B","B","B","B","B","B","B","A","A","A","B","A","B","A","A"
"Height.97",135.318752858609,0,0,0,"B","B","B","A","A","B","B","B","B","A","B","A","A","B","A","B","B","B","A","A"
"Height.98",134.987809859991,0,0,0,"B","B","B","A","A","B","B","B","A","B","A","A","B","A","A","A","B","A","A","A"
"Height.99",137.480223729358,0,0,0,"B","B","B","A","A","B","B","B","A","A","A","B","A","B","A","B","A","B","A","B"
"Height.100",133.789282804246,0,0,0,"B","B","B","A","A","B","B","A","B","B","A","B","A","B","B","A","B","B","A","B"
"Height.101",139.168586070387,0,0,0,"B","B","B","A","A","B","B","A","B","A","A","B","A","A","B","A","A","B","A","B"
"Height.102",137.418279351735,0,0,0,"B","B","B","A","A","B","B","A","A","B","B","A","B","B","A","B","B","B","A","B"
"Height.103",141.083860860578,0,0,0,"B","B","B","A","A","B","B","A","A","A","A","B","A","A","B","A","A","A","B","A"
"Height.104",133.607410970341,0,0,0,"B","B","B","A","A","B","A","B","B","B","B","B","A","A","A","A","A","B","A","B"
"Height.105",135.942870329179,0,0,0,"B","B","B","A","A","B","A","B","B","A","A","B","A","B","A","B","B","A","A","A"
"Height.106",136.177597443041,0,0,0,"B","B","B","A","A","B","A","B","A","B","A","A","A","A","B","B","A","B","A","A"
"Height.107",138.881908893406,0,0,0,"B","B","B","A","A","B","A","B","A","A","B","B","B","B","A","B","A","B","B","B"
"Height.108",135.583281066499,0,0,0,"B","B","B","A","A","B","A","A","B","B","A","B","B","B","B","B","B","B","B","A"
"Height.109",139.064588613591,0,0,0,"B","B","B","A","A","B","A","A","B","A","B","A","A","A","A","B","B","B","B","B"
"Height.110",138.179502860505,0,0,0,"B","B","B","A","A","B","A","A","A","B","A","A","A","A","B","A","B","A","B","B"
"Height.111",140.40727580511,0,0,0,"B","B","B","A","A","B","A","A","A","A","A","A","B","B","B","A","A","B","A","B"
"Height.112",134.350794869917,0,0,0,"B","B","B","A","A","A","B","B","B","B","A","A","B","B","B","B","A","B","A","A"
"Height.113",136.528106783184,0,0,0,"B","B","B","A","A","A","B","B","B","A","B","A","A","B","B","A","B","B","A","B"
"Height.114",135.517782199066,0,0,0,"B","B","B","A","A","A","B","B","A","B","B","B","B","B","A","A","B","B","B","B"
"Height.115",137.510855188974,0,0,0,"B","B","B","A","A","A","B","B","A","A","B","A","A","B","A","A","B","B","A","B"
"Height.116",136.788002243084,0,0,0,"B","B","B","A","A","A","B","A","B","B","A","A","B","B","B","A","A","B","A","B"
"Height.117",139.495588171524,0,0,0,"B","B","B","A","A","A","B","A","B","A","B","A","B","A","B","B","A","B","A","A"
"Height.118",137.23124674465,0,0,0,"B","B","B","A","A","A","B","A","A","B","A","B","A","A","B","B","A","A","A","A"
"Height.119",142.297674105932,0,0,0,"B","B","B","A","A","A","B","A","A","A","A","A","A","B","A","B","A","B","B","A"
"Height.120",134.358797367496,0,0,0,"B","B","B","A","A","A","A","B","B","B","A","A","A","A","B","A","A","A","A","A"
"Height.121",137.151135377246,0,0,0,"B","B","B","A","A","A","A","B","B","A","B","A","A","A","B","A","B","A","A","B"
"Height.122",137.481484286912,0,0,0,"B","B","B","A","A","A","A","B","A","B","B","A","B","B","A","A","B","A","B","B"
"Height.123",138.891789661203,0,0,0,"B","B","B","A","A","A","A","B","A","A","B","B","B","A","B","A","A","A","A","B"
"Height.124",138.752595632541,0,0,0,"B","B","B","A","A","A","A","A","B","B","A","B","B","A","A","B","A","A","A","A"
"Height.125",141.151505155694,0,0,0,"B","B","B","A","A","A","A","A","B","A","A","B","B","A","B","A","B","B","B","A"
"Height.126",138.887717974953,0,0,0,"B","B","B","A","A","A","A","A","A","B","B","A","B","B","A","B","B","B","A","A"
"Height.127",142.373987411305,0,0,0,"B","B","B","A","A","A","A","A","A","A","A","B","A","A","A","B","B","A","A","A"
"Height.128",72.5978219479054,0,0,0,"B","B","A","B","B","B","B","B","B","B","B","A","B","A","A","A","A","B","B","B"
"Height.129",77.0228822807599,0,0,0,"B","B","A","B","B","B","B","B","B","A","B","A","A","A","B","B","B","A","B","B"
"Height.130",75.4729561190604,0,0,0,"B","B","A","B","B","B","B","B","A","B","A","A","B","B","A","B","B","B","B","A"
"Height.131",79.1514589934412,0,0,0,"B","B","A","B","B","B","B","B","A","A","A","A","B","B","B","B","B","B","A","B"
"Height.132",74.5791008407355,0,0,0,"B","B","A","B","B","B","B","A","B","B","B","B","B","A","A","A","A","B","B","A"
"Height.133",80.0525414767675,0,0,0,"B","B","A","B","B","B","B","A","B","A","B","A","B","B","A","A","A","A","B","B"
"Height.134",78.2878748946718,0,0,0,"B","B","A","B","B","B","B","A","A","B","B","B","B","B","B","B","B","B","B","A"
"Height.135",82.8577816303186,0,0,0,"B","B","A","B","B","B","B","A","A","A","A","B","A","B","A","A","B","A","A","A"
"Height.136",74.3870748615647,0,0,0,"B","B","A","B","B","B","A","B","B","B","B","A","A","B","A","A","A","A","B","A"
"Height.137",76.6175590793854,0,0,0,"B","B","A","B","B","B","A","B","B","A","B","B","B","A","A","B","A","B","A","B"
"Height.138",75.1017692236151,0,0,0,"B","B","A","B","B","B","A","B","A","B","A","B","A","A","A","A","B","B","A","A"
"Height.139",79.8268789806833,0,0,0,"B","B","A","B","B","B","A","B","A","A","A","B","A","B","B","A","A","B","A","A"
"Height.140",78.5580082520349,0,0,0,"B","B","A","B","B","B","A","A","B","B","B","B","A","B","A","B","B","A","B","B"
"Height.141",80.5633289694485,0,0,0,"B","B","A","B","B","B","A","A","B","A","A","A","B","B","B","B","B","B","A","A"
"Height.142",79.0577439719702,0,0,0,"B","B","A","B","B","B","A","A","A","B","A","B","A","A","A","A","A","B","A","A"
"Height.143",82.7146970396609,0,0,0,"B","B","A","B","B","B","A","A","A","A","B","B","A","B","B","A","B","A","B","B"
"Height.144",75.0837911900754,0,0,0,"B","B","A","B","B","A","B","B","B","B","B","B","A","B","B","B","A","A","B","B"
"Height.145",78.8706610979751,0,0,0,"B","B","A","B","B","A","B","B","B","A","B","A","A","B","B","A","B","A","A","B"
"Height.146",77.1553039735514,0,0,0,"B","B","A","B","B","A","B","B","A","B","B","A","A","A","A","A","A","A","B","B"
"Height.147",79.7613467967196,0,0,0,"B","B","A","B","B","A","B","B","A","A","B","B","B","B","A","B","B","A","B","B"
"Height.148",77.7971430544312,0,0,0,"B","B","A","B","B","A","B","A","B","B","A","B","A","A","A","A","B","A","B","A"
"Height.149",79.217906361418,0,0,0,"B","B","A","B","B","A","B","A","B","A","B","B","A","A","B","B","B","A","A","B"
"Height.150",78.8182538675714,0,0,0,"B","B","A","B","B","A","B","A","A","B","B","A","A","A","A","B","A","B","A","B"
"Height.151",83.6569737567173,0,0,0,"B","B","A","B","B","A","B","A","A","A","A","A","A","B","B","B","B","A","B","A"
"Height.152",75.5496566661205,0,0,0,"B","B","A","B","B","A","A","B","B","B","B","B","A","B","B","B","B","A","A","B"
"Height.153",77.7519201899961,0,0,0,"B","B","A","B","B","A","A","B","B","A","B","A","B","B","A","B","B","A","B","A"
"Height.154",77.8508519220455,0,0,0,"B","B","A","B","B","A","A","B","A","B","B","A","A","B","B","B","B","A","A","A"
"Height.155",81.087545898699,0,0,0,"B","B","A","B","B","A","A","B","A","A","B","B","B","B","A","B","A","A","A","A"
"Height.156",78.5695280490535,0,0,0,"B","B","A","B","B","A","A","A","B","B","B","A","A","A","A","A","A","A","B","A"
"Height.157",82.8284784442356,0,0,0,"B","B","A","B","B","A","A","A","B","A","A","A","B","B","A","B","A","A","B","A"
"Height.158",81.0754120840554,0,0,0,"B","B","A","B","B","A","A","A","A","B","A","A","B","A","A","B","B","A","A","B"
"Height.159",83.3187501895648,0,0,0,"B","B","A","B","B","A","A","A","A","A","A","A","A","A","B","B","A","B","A","B"
"Height.160",75.9204298651811,0,0,0,"B","B","A","B","A","B","B","B","B","B","A","A","B","A","B","A","A","A","B","B"
"Height.161",78.71836874549,0,0,0,"B","B","A","B","A","B","B","B","B","A","B","A","B","A","A","A","B","B","B","B"
"Height.162",77.9819181499913,0,0,0,"B","B","A","B","A","B","B","B","A","B","A","B","B","B","A","A","B","A","A","B"
"Height.163",79.9507894565944,0,0,0,"B","B","A","B","A","B","B","B","A","A","A","A","B","A","B","B","B","A","B","B"
"Height.164",78.5790742269451,0,0,0,"B","B","A","B","A","B","B","A","B","B","A","B","A","A","A","B","A","A","B","A"
"Height.165",81.7249810168115,0,0,0,"B","B","A","B","A","B","B","A","B","A","A","B","A","B","B","A","A","A","A","B"
"Height.166",80.3290722181852,0,0,0,"B","B","A","B","A","B","B","A","A","B","A","B","A","A","A","A","A","B","B","A"
"Height.167",83.8215556026361,0,0,0,"B","B","A","B","A","B","B","A","A","A","B","B","A","A","B","B","B","A","A","A"
"Height.168",76.8427136308566,0,0,0,"B","B","A","B","A","B","A","B","B","B","A","A","B","B","B","B","A","B","A","A"
"Height.169",80.1270514597744,0,0,0,"B","B","A","B","A","B","A","B","B","A","A","B","A","A","A","B","B","A","A","B"
"Height.170",78.2581923166814,0,0,0,"B","B","A","B","A","B","A","B","A","B","B","B","A","B","A","A","A","A","B","A"
"Height.171",82.043521593748,0,0,0,"B","B","A","B","A","B","A","B","A","A","A","A","A","A","B","A","A","B","B","B"
"Height.172",79.9416416656872,0,0,0,"B","B","A","B","A","B","A","A","B","B","A","A","B","B","B","B","B","B","A","B"
"Height.173",83.6591653522131,0,0,0,"B","B","A","B","A","B","A","A","B","A","A","A","A","B","B","A","A","A","B","A"
"Height.174",81.1333701690112,0,0,0,"B","B","A","B","A","B","A","A","A","B","B","B","B","A","B","B","B","B","A","B"
"Height.175",82.5708128679704,0,0,0,"B","B","A","B","A","B","A","A","A","A","A","B","A","A","B","A","B","B","B","A"
"Height.176",77.7470726823342,0,0,0,"B","B","A","B","A","A","B","B","B","B","A","B","B","B","A","B","B","A","A","B"
"Height.177",81.4453448353321,0,0,0,"B","B","A","B","A","A","B","B","B","A","B","B","A","A","A","B","B","A","A","B"
"Height.178",79.1456949340438,0,0,0,"B","B","A","B","A","A","B","B","A","B","B","B","A","A","A","B","A","A","B","A"
"Height.179",82.8153944153088,0,0,0,"B","B","A","B","A","A","B","B","A","A","A","A","B","B","B","A","A","A","A","B"
"Height.180",79.9398740435276,0,0,0,"B","B","A","B","A","A","B","A","B","B","B","B","A","A","B","A","A","B","A","A"
"Height.181",82.803543526452,0,0,0,"B","B","A","B","A","A","B","A","B","A","A","B","B","B","B","B","A","B","B","A"
"Height.182",81.8843866213927,0,0,0,"B","B","A","B","A","A","B","A","A","B","A","A","A","B","B","B","B","A","B","A"
"Height.183",84.95934642266,0,0,0,"B","B","A","B","A","A","B","A","A","A","A","A","A","A","A","A","A","A","A","A"
"Height.184",77.3403760179104,0,0,0,"B","B","A","B","A","A","A","B","B","B","B","A","A","B","B","A","A","B","A","A"
"Height.185",81.4099309705636,0,0,0,"B","B","A","B","A","A","A","B","B","A","A","A","A","A","A","B","B","B","B","B"
"Height.186",79.8875250495193,0,0,0,"B","B","A","B","A","A","A","B","A","B","A","B","A","A","A","A","B","B","B","B"
"Height.187",83.809254505884,0,0,0,"B","B","A","B","A","A","A","B","A","A","A","B","B","A","A","B","A","B","A","A"
"Height.188",80.0116549698232,0,0,0,"B","B","A","B","A","A","A","A","B","B","B","A","A","A","A","A","B","B","B","B"
"Height.189",84.5135658287379,0,0,0,"B","B","A","B","A","A","A","A","B","A","B","A","B","B","A","B","B","A","A","B"
"Height.190",83.8227163987457,0,0,0,"B","B","A","B","A","A","A","A","A","B","B","A","A","B","A","B","B","A","B","A"
"Height.191",86.0125252095893,0,0,0,"B","B","A","B","A","A","A","A","A","A","B","A","A","A","A","A","B","B","B","A"
"Height.192",133.795707418788,0,0,0,"B","B","A","A","B","B","B","B","B","B","A","B","B","B","A","A","B","B","A","A"
"Height.193",136.595079297473,0,0,0,"B","B","A","A","B","B","B","B","B","A","B","A","B","B","B","B","B","A","B","A"
"Height.194",135.283213986775,0,0,0,"B","B","A","A","B","B","B","B","A","B","A","B","B","B","A","B","B","A","A","A"
"Height.195",138.175443002256,0,0,0,"B","B","A","A","B","B","B","B","A","A","B","A","A","A","A","B","A","B","B","B"
"Height.196",137.465430133391,0,0,0,"B","B","A","A","B","B","B","A","B","B","B","A","B","A","A","A","B","A","A","A"
"Height.197",139.618859951771,0,0,0,"B","B","A","A","B","B","B","A","B","A","A","B","A","B","B","A","B","A","A","A"
"Height.198",137.593794555182,0,0,0,"B","B","A","A","B","B","B","A","A","B","A","A","A","B","B","B","A","B","A","B"
"Height.199",141.332339011159,0,0,0,"B","B","A","A","B","B","B","A","A","A","A","B","B","A","B","A","A","A","B","A"
"Height.200",132.845804680249,0,0,0,"B","B","A","A","B","B","A","B","B","B","B","B","B","A","A","A","B","A","B","A"
"Height.201",138.208421814228,0,0,0,"B","B","A","A","B","B","A","B","B","A","B","A","B","A","B","A","A","A","A","B"
"Height.202",136.223769684717,0,0,0,"B","B","A","A","B","B","A","B","A","B","A","B","B","A","B","A","B","A","B","B"
"Height.203",139.240504278934,0,0,0,"B","B","A","A","B","B","A","B","A","A","B","A","B","B","A","A","A","A","B","A"
"Height.204",137.741890365155,0,0,0,"B","B","A","A","B","B","A","A","B","B","B","B","A","B","B","B","A","A","A","B"
"Height.205",141.111990194029,0,0,0,"B","B","A","A","B","B","A","A","B","A","B","B","B","A","B","B","A","B","B","B"
"Height.206",139.662881677836,0,0,0,"B","B","A","A","B","B","A","A","A","B","B","A","B","B","A","A","A","A","B","B"
"Height.207",142.770435613825,0,0,0,"B","B","A","A","B","B","A","A","A","A","A","A","A","B","B","B","A","A","B","B"
"Height.208",134.875431777601,0,0,0,"B","B","A","A","B","A","B","B","B","B","B","A","B","B","B","B","A","B","A","B"
"Height.209",138.049387394043,0,0,0,"B","B","A","A","B","A","B","B","B","A","A","A","A","B","B","B","A","B","A","B"
"Height.210",137.087435761504,0,0,0,"B","B","A","A","B","A","B","B","A","B","A","B","B","B","B","A","B","B","A","A"
"Height.211",141.23628008824,0,0,0,"B","B","A","A","B","A","B","B","A","A","A","A","B","A","B","B","A","A","B","A"
"Height.212",137.961761390096,0,0,0,"B","B","A","A","B","A","B","A","B","B","A","B","B","A","B","B","B","A","B","B"
"Height.213",141.81303131897,0,0,0,"B","B","A","A","B","A","B","A","B","A","B","B","B","B","B","B","B","A","A","A"
"Height.214",139.135307314247,0,0,0,"B","B","A","A","B","A","B","A","A","B","A","B","B","A","A","B","B","A","B","A"
"Height.215",143.004298590561,0,0,0,"B","B","A","A","B","A","B","A","A","A","A","A","B","B","A","A","B","A","B","B"
"Height.216",135.628387188742,0,0,0,"B","B","A","A","B","A","A","B","B","B","B","A","A","B","B","A","A","A","A","A"
"Height.217",138.961791927875,0,0,0,"B","B","A","A","B","A","A","B","B","A","A","B","B","A","A","A","B","A","B","A"
"Height.218",137.646017371763,0,0,0,"B","B","A","A","B","A","A","B","A","B","B","B","A","A","B","B","B","A","A","A"
"Height.219",140.656278177292,0,0,0,"B","B","A","A","B","A","A","B","A","A","A","B","B","B","B","A","A","B","A","A"
"Height.220",138.230122286855,0,0,0,"B","B","A","A","B","A","A","A","B","B","B","A","B","B","A","A","B","A","A","A"
"Height.221",140.865245454501,0,0,0,"B","B","A","A","B","A","A","A","B","A","B","A","A","A","A","B","B","A","A","B"
"Height.222",140.425175536507,0,0,0,"B","B","A","A","B","A","A","A","A","B","A","B","B","B","A","A","A","A","A","A"
"Height.223",144.095378490331,0,0,0,"B","B","A","A","B","A","A","A","A","A","B","A","A","B","B","B","B","B","B","A"
"Height.224",136.486768076599,0,0,0,"B","B","A","A","A","B","B","B","B","B","B","B","B","A","B","B","A","A","A","B"
