height_data,LW,LN,P,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
77.99343793,0,0,0,B,B,B,B,B,A,B,A,B,A,A,A,A,B,A,A,A,A,B,A
76.87077199,0,0,0,B,B,B,B,B,A,B,A,A,B,A,B,B,A,A,B,A,A,B,B
79.50077295,0,0,0,B,B,B,B,B,A,B,A,A,A,B,B,A,A,A,A,A,B,B,B
72.03188353,0,0,0,B,B,B,B,B,A,A,B,B,B,B,A,A,B,A,A,A,A,A,B
75.3959033,0,0,0,B,B,B,B,B,A,A,B,B,A,B,A,A,A,B,B,A,A,A,B
72.66196461,0,0,0,B,B,B,B,B,A,A,B,A,B,B,A,B,A,A,A,B,B,A,B
77.30863165,0,0,0,B,B,B,B,B,A,A,B,A,A,A,B,A,B,B,A,A,B,B,B
75.43744719,0,0,0,B,B,B,B,B,A,A,A,B,B,A,A,A,A,A,B,A,B,B,A
77.26808276,0,0,0,B,B,B,B,B,A,A,A,B,A,B,A,A,B,A,B,B,B,A,B
76.88066918,0,0,0,B,B,B,B,B,A,A,A,A,B,A,A,A,B,A,B,B,A,A,A
79.88995966,0,0,0,B,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,B,B,A,B
72.62487676,0,0,0,B,B,B,B,A,B,B,B,B,B,B,A,B,A,A,B,A,B,B,B
74.66291559,0,0,0,B,B,B,B,A,B,B,B,B,A,A,A,A,B,A,B,A,A,A,B
75.75963841,0,0,0,B,B,B,B,A,B,B,B,A,B,B,B,A,A,A,A,A,A,B,A
78.68202084,0,0,0,B,B,B,B,A,B,B,B,A,A,A,A,A,A,B,A,B,B,A,B
74.62724735,0,0,0,B,B,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,B,B
78.95623676,0,0,0,B,B,B,B,A,B,B,A,B,A,B,A,A,B,B,A,B,A,A,B
77.24769686,0,0,0,B,B,B,B,A,B,B,A,A,B,B,B,A,A,B,B,B,A,B,B
81.76327971,0,0,0,B,B,B,B,A,B,B,A,A,A,B,A,B,A,A,A,B,B,A,A
72.98175332,0,0,0,B,B,B,B,A,B,A,B,B,B,B,A,A,A,A,B,B,A,B,B
75.7432977,0,0,0,B,B,B,B,A,B,A,B,B,A,B,B,A,B,A,B,B,B,A,A
75.46330962,0,0,0,B,B,B,B,A,B,A,B,A,B,B,B,B,A,A,A,A,A,A,A
78.56491442,0,0,0,B,B,B,B,A,B,A,B,A,A,A,A,A,A,A,A,B,B,B,A
74.40078026,0,0,0,B,B,B,B,A,B,A,A,B,B,B,A,A,A,A,A,A,B,B,B
78.98650083,0,0,0,B,B,B,B,A,B,A,A,B,A,A,A,A,A,A,B,B,B,A,A
78.94659461,0,0,0,B,B,B,B,A,B,A,A,A,B,A,A,A,B,A,A,A,B,A,B
81.69544611,0,0,0,B,B,B,B,A,B,A,A,A,A,B,A,A,B,A,B,A,A,A,A
74.77399558,0,0,0,B,B,B,B,A,A,B,B,B,B,A,B,B,A,B,A,B,B,B,A
76.37656084,0,0,0,B,B,B,B,A,A,B,B,B,A,A,A,A,B,A,B,A,A,B,B
75.47469894,0,0,0,B,B,B,B,A,A,B,B,A,B,A,B,A,B,A,A,B,A,B,A
79.27597076,0,0,0,B,B,B,B,A,A,B,B,A,A,B,A,B,B,B,B,A,B,B,B
77.70737651,0,0,0,B,B,B,B,A,A,B,A,B,B,A,A,B,B,A,B,A,A,B,B
80.48405649,0,0,0,B,B,B,B,A,A,B,A,B,A,B,A,B,A,A,A,B,B,A,A
80.06470949,0,0,0,B,B,B,B,A,A,B,A,A,B,B,A,B,B,B,B,A,B,B,A
83.92642732,0,0,0,B,B,B,B,A,A,B,A,A,A,B,A,B,A,B,A,A,B,A,A
74.64506403,0,0,0,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,B,A,A,A,B
76.9593055,0,0,0,B,B,B,B,A,A,A,B,B,A,A,B,B,A,A,B,B,B,B,B
76.87528034,0,0,0,B,B,B,B,A,A,A,B,A,B,A,B,A,A,B,B,A,A,B,B
79.85518134,0,0,0,B,B,B,B,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A
77.57205287,0,0,0,B,B,B,B,A,A,A,A,B,B,B,B,A,B,B,A,B,A,B,A
80.39318899,0,0,0,B,B,B,B,A,A,A,A,B,A,A,A,B,B,B,A,B,B,B,A
78.38739351,0,0,0,B,B,B,B,A,A,A,A,A,B,B,A,B,A,A,B,A,A,A,B
81.90154984,0,0,0,B,B,B,B,A,A,A,A,A,A,B,A,B,A,B,B,A,B,A,B
129.832207,0,0,0,B,B,B,A,B,B,B,B,B,B,B,A,B,B,A,B,A,A,B,A
134.4446064,0,0,0,B,B,B,A,B,B,B,B,B,A,B,A,A,A,B,A,B,B,A,B
132.9112796,0,0,0,B,B,B,A,B,B,B,B,A,B,B,A,B,A,B,A,A,A,B,A
135.2059231,0,0,0,B,B,B,A,B,B,B,B,A,A,B,A,A,A,B,B,B,B,B,A
134.2411822,0,0,0,B,B,B,A,B,B,B,A,B,B,B,B,A,B,B,B,A,A,B,B
135.3087906,0,0,0,B,B,B,A,B,B,B,A,B,A,B,A,B,A,A,B,A,B,A,B
134.349533,0,0,0,B,B,B,A,B,B,B,A,A,B,B,B,A,B,A,B,B,B,A,A
139.3316032,0,0,0,B,B,B,A,B,B,B,A,A,A,B,B,B,B,A,B,A,A,B,A
130.6768452,0,0,0,B,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,A,B
134.5009915,0,0,0,B,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,B,B,B,A
132.0236789,0,0,0,B,B,B,A,B,B,A,B,A,B,A,B,A,A,A,B,B,A,A,A
135.3940808,0,0,0,B,B,B,A,B,B,A,B,A,A,A,A,B,B,A,B,B,B,B,B
133.7064312,0,0,0,B,B,B,A,B,B,A,A,B,B,B,A,B,A,B,A,A,B,B,B
137.2312582,0,0,0,B,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A
136.9352879,0,0,0,B,B,B,A,B,B,A,A,A,B,B,B,B,A,B,A,A,B,B,A
139.5762327,0,0,0,B,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B
130.6320031,0,0,0,B,B,B,A,B,A,B,B,B,B,A,A,B,B,B,A,A,A,B,B
134.1413683,0,0,0,B,B,B,A,B,A,B,B,B,A,B,B,A,B,B,B,B,A,A,B
134.1595463,0,0,0,B,B,B,A,B,A,B,B,A,B,A,A,A,B,B,B,A,A,B,B
137.5513095,0,0,0,B,B,B,A,B,A,B,B,A,A,B,A,B,B,B,B,A,B,A,A
134.5294189,0,0,0,B,B,B,A,B,A,B,A,B,B,B,A,B,A,A,B,B,A,A,B
136.5210577,0,0,0,B,B,B,A,B,A,B,A,B,A,B,A,B,B,A,A,A,B,B,A
136.5589131,0,0,0,B,B,B,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,A,B
139.7629928,0,0,0,B,B,B,A,B,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A
131.9168469,0,0,0,B,B,B,A,B,A,A,B,B,B,A,B,A,B,A,B,B,A,B,A
134.3544416,0,0,0,B,B,B,A,B,A,A,B,B,A,B,B,B,A,B,A,A,B,A,A
133.7167391,0,0,0,B,B,B,A,B,A,A,B,A,B,B,B,B,B,A,B,A,A,A,B
138.5617232,0,0,0,B,B,B,A,B,A,A,B,A,A,A,B,A,A,A,A,A,B,B,A
134.3241925,0,0,0,B,B,B,A,B,A,A,A,B,B,A,A,A,A,A,A,B,B,B,A
138.333497,0,0,0,B,B,B,A,B,A,A,A,B,A,B,B,B,A,B,A,B,B,B,A
136.8514168,0,0,0,B,B,B,A,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B
140.6542836,0,0,0,B,B,B,A,B,A,A,A,A,A,B,B,A,A,B,B,B,B,A,A
132.6352833,0,0,0,B,B,B,A,A,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A
135.3187529,0,0,0,B,B,B,A,A,B,B,B,B,A,B,A,A,B,A,B,B,B,A,A
134.9878099,0,0,0,B,B,B,A,A,B,B,B,A,B,A,A,B,A,A,A,B,A,A,A
137.4802237,0,0,0,B,B,B,A,A,B,B,B,A,A,A,B,A,B,A,B,A,B,A,B
133.7892828,0,0,0,B,B,B,A,A,B,B,A,B,B,A,B,A,B,B,A,B,B,A,B
139.1685861,0,0,0,B,B,B,A,A,B,B,A,B,A,A,B,A,A,B,A,A,B,A,B
137.4182794,0,0,0,B,B,B,A,A,B,B,A,A,B,B,A,B,B,A,B,B,B,A,B
141.0838609,0,0,0,B,B,B,A,A,B,B,A,A,A,A,B,A,A,B,A,A,A,B,A
133.607411,0,0,0,B,B,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,B,A,B
135.9428703,0,0,0,B,B,B,A,A,B,A,B,B,A,A,B,A,B,A,B,B,A,A,A
136.1775974,0,0,0,B,B,B,A,A,B,A,B,A,B,A,A,A,A,B,B,A,B,A,A
138.8819089,0,0,0,B,B,B,A,A,B,A,B,A,A,B,B,B,B,A,B,A,B,B,B
135.5832811,0,0,0,B,B,B,A,A,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A
139.0645886,0,0,0,B,B,B,A,A,B,A,A,B,A,B,A,A,A,A,B,B,B,B,B
138.1795029,0,0,0,B,B,B,A,A,B,A,A,A,B,A,A,A,A,B,A,B,A,B,B
140.4072758,0,0,0,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,A,B,A,B
134.3507949,0,0,0,B,B,B,A,A,A,B,B,B,B,A,A,B,B,B,B,A,B,A,A
136.5281068,0,0,0,B,B,B,A,A,A,B,B,B,A,B,A,A,B,B,A,B,B,A,B
135.5177822,0,0,0,B,B,B,A,A,A,B,B,A,B,B,B,B,B,A,A,B,B,B,B
137.5108552,0,0,0,B,B,B,A,A,A,B,B,A,A,B,A,A,B,A,A,B,B,A,B
136.7880022,0,0,0,B,B,B,A,A,A,B,A,B,B,A,A,B,B,B,A,A,B,A,B
139.4955882,0,0,0,B,B,B,A,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,A
137.2312467,0,0,0,B,B,B,A,A,A,B,A,A,B,A,B,A,A,B,B,A,A,A,A
142.2976741,0,0,0,B,B,B,A,A,A,B,A,A,A,A,A,A,B,A,B,A,B,B,A
134.3587974,0,0,0,B,B,B,A,A,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A
137.1511354,0,0,0,B,B,B,A,A,A,A,B,B,A,B,A,A,A,B,A,B,A,A,B
137.4814843,0,0,0,B,B,B,A,A,A,A,B,A,B,B,A,B,B,A,A,B,A,B,B
138.8917897,0,0,0,B,B,B,A,A,A,A,B,A,A,B,B,B,A,B,A,A,A,A,B
138.7525956,0,0,0,B,B,B,A,A,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A
141.1515052,0,0,0,B,B,B,A,A,A,A,A,B,A,A,B,B,A,B,A,B,B,B,A
138.887718,0,0,0,B,B,B,A,A,A,A,A,A,B,B,A,B,B,A,B,B,B,A,A
142.3739874,0,0,0,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A
72.59782195,0,0,0,B,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,B,B,B
77.02288228,0,0,0,B,B,A,B,B,B,B,B,B,A,B,A,A,A,B,B,B,A,B,B
75.47295612,0,0,0,B,B,A,B,B,B,B,B,A,B,A,A,B,B,A,B,B,B,B,A
79.15145899,0,0,0,B,B,A,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,A,B
74.57910084,0,0,0,B,B,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A,B,B,A
80.05254148,0,0,0,B,B,A,B,B,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B
78.28787489,0,0,0,B,B,A,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A
82.85778163,0,0,0,B,B,A,B,B,B,B,A,A,A,A,B,A,B,A,A,B,A,A,A
74.38707486,0,0,0,B,B,A,B,B,B,A,B,B,B,B,A,A,B,A,A,A,A,B,A
76.61755908,0,0,0,B,B,A,B,B,B,A,B,B,A,B,B,B,A,A,B,A,B,A,B
75.10176922,0,0,0,B,B,A,B,B,B,A,B,A,B,A,B,A,A,A,A,B,B,A,A
79.82687898,0,0,0,B,B,A,B,B,B,A,B,A,A,A,B,A,B,B,A,A,B,A,A
78.55800825,0,0,0,B,B,A,B,B,B,A,A,B,B,B,B,A,B,A,B,B,A,B,B
80.56332897,0,0,0,B,B,A,B,B,B,A,A,B,A,A,A,B,B,B,B,B,B,A,A
79.05774397,0,0,0,B,B,A,B,B,B,A,A,A,B,A,B,A,A,A,A,A,B,A,A
82.71469704,0,0,0,B,B,A,B,B,B,A,A,A,A,B,B,A,B,B,A,B,A,B,B
75.08379119,0,0,0,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A,B,B
78.8706611,0,0,0,B,B,A,B,B,A,B,B,B,A,B,A,A,B,B,A,B,A,A,B
77.15530397,0,0,0,B,B,A,B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B
79.7613468,0,0,0,B,B,A,B,B,A,B,B,A,A,B,B,B,B,A,B,B,A,B,B
77.79714305,0,0,0,B,B,A,B,B,A,B,A,B,B,A,B,A,A,A,A,B,A,B,A
79.21790636,0,0,0,B,B,A,B,B,A,B,A,B,A,B,B,A,A,B,B,B,A,A,B
78.81825387,0,0,0,B,B,A,B,B,A,B,A,A,B,B,A,A,A,A,B,A,B,A,B
83.65697376,0,0,0,B,B,A,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,B,A
75.54965667,0,0,0,B,B,A,B,B,A,A,B,B,B,B,B,A,B,B,B,B,A,A,B
77.75192019,0,0,0,B,B,A,B,B,A,A,B,B,A,B,A,B,B,A,B,B,A,B,A
77.85085192,0,0,0,B,B,A,B,B,A,A,B,A,B,B,A,A,B,B,B,B,A,A,A
81.0875459,0,0,0,B,B,A,B,B,A,A,B,A,A,B,B,B,B,A,B,A,A,A,A
78.56952805,0,0,0,B,B,A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A
82.82847844,0,0,0,B,B,A,B,B,A,A,A,B,A,A,A,B,B,A,B,A,A,B,A
81.07541208,0,0,0,B,B,A,B,B,A,A,A,A,B,A,A,B,A,A,B,B,A,A,B
83.31875019,0,0,0,B,B,A,B,B,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B
75.92042987,0,0,0,B,B,A,B,A,B,B,B,B,B,A,A,B,A,B,A,A,A,B,B
78.71836875,0,0,0,B,B,A,B,A,B,B,B,B,A,B,A,B,A,A,A,B,B,B,B
77.98191815,0,0,0,B,B,A,B,A,B,B,B,A,B,A,B,B,B,A,A,B,A,A,B
79.95078946,0,0,0,B,B,A,B,A,B,B,B,A,A,A,A,B,A,B,B,B,A,B,B
78.57907423,0,0,0,B,B,A,B,A,B,B,A,B,B,A,B,A,A,A,B,A,A,B,A
81.72498102,0,0,0,B,B,A,B,A,B,B,A,B,A,A,B,A,B,B,A,A,A,A,B
80.32907222,0,0,0,B,B,A,B,A,B,B,A,A,B,A,B,A,A,A,A,A,B,B,A
83.8215556,0,0,0,B,B,A,B,A,B,B,A,A,A,B,B,A,A,B,B,B,A,A,A
76.84271363,0,0,0,B,B,A,B,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,A
80.12705146,0,0,0,B,B,A,B,A,B,A,B,B,A,A,B,A,A,A,B,B,A,A,B
78.25819232,0,0,0,B,B,A,B,A,B,A,B,A,B,B,B,A,B,A,A,A,A,B,A
82.04352159,0,0,0,B,B,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,B,B,B
79.94164167,0,0,0,B,B,A,B,A,B,A,A,B,B,A,A,B,B,B,B,B,B,A,B
83.65916535,0,0,0,B,B,A,B,A,B,A,A,B,A,A,A,A,B,B,A,A,A,B,A
81.13337017,0,0,0,B,B,A,B,A,B,A,A,A,B,B,B,B,A,B,B,B,B,A,B
82.57081287,0,0,0,B,B,A,B,A,B,A,A,A,A,A,B,A,A,B,A,B,B,B,A
77.74707268,0,0,0,B,B,A,B,A,A,B,B,B,B,A,B,B,B,A,B,B,A,A,B
81.44534484,0,0,0,B,B,A,B,A,A,B,B,B,A,B,B,A,A,A,B,B,A,A,B
79.14569493,0,0,0,B,B,A,B,A,A,B,B,A,B,B,B,A,A,A,B,A,A,B,A
82.81539442,0,0,0,B,B,A,B,A,A,B,B,A,A,A,A,B,B,B,A,A,A,A,B
79.93987404,0,0,0,B,B,A,B,A,A,B,A,B,B,B,B,A,A,B,A,A,B,A,A
82.80354353,0,0,0,B,B,A,B,A,A,B,A,B,A,A,B,B,B,B,B,A,B,B,A
81.88438662,0,0,0,B,B,A,B,A,A,B,A,A,B,A,A,A,B,B,B,B,A,B,A
84.95934642,0,0,0,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
77.34037602,0,0,0,B,B,A,B,A,A,A,B,B,B,B,A,A,B,B,A,A,B,A,A
81.40993097,0,0,0,B,B,A,B,A,A,A,B,B,A,A,A,A,A,A,B,B,B,B,B
79.88752505,0,0,0,B,B,A,B,A,A,A,B,A,B,A,B,A,A,A,A,B,B,B,B
83.80925451,0,0,0,B,B,A,B,A,A,A,B,A,A,A,B,B,A,A,B,A,B,A,A
80.01165497,0,0,0,B,B,A,B,A,A,A,A,B,B,B,A,A,A,A,A,B,B,B,B
84.51356583,0,0,0,B,B,A,B,A,A,A,A,B,A,B,A,B,B,A,B,B,A,A,B
83.8227164,0,0,0,B,B,A,B,A,A,A,A,A,B,B,A,A,B,A,B,B,A,B,A
86.01252521,0,0,0,B,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,B,B,B,A
133.7957074,0,0,0,B,B,A,A,B,B,B,B,B,B,A,B,B,B,A,A,B,B,A,A
136.5950793,0,0,0,B,B,A,A,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,A
135.283214,0,0,0,B,B,A,A,B,B,B,B,A,B,A,B,B,B,A,B,B,A,A,A
138.175443,0,0,0,B,B,A,A,B,B,B,B,A,A,B,A,A,A,A,B,A,B,B,B
137.4654301,0,0,0,B,B,A,A,B,B,B,A,B,B,B,A,B,A,A,A,B,A,A,A
139.61886,0,0,0,B,B,A,A,B,B,B,A,B,A,A,B,A,B,B,A,B,A,A,A
137.5937946,0,0,0,B,B,A,A,B,B,B,A,A,B,A,A,A,B,B,B,A,B,A,B
141.332339,0,0,0,B,B,A,A,B,B,B,A,A,A,A,B,B,A,B,A,A,A,B,A
132.8458047,0,0,0,B,B,A,A,B,B,A,B,B,B,B,B,B,A,A,A,B,A,B,A
138.2084218,0,0,0,B,B,A,A,B,B,A,B,B,A,B,A,B,A,B,A,A,A,A,B
136.2237697,0,0,0,B,B,A,A,B,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B
139.2405043,0,0,0,B,B,A,A,B,B,A,B,A,A,B,A,B,B,A,A,A,A,B,A
137.7418904,0,0,0,B,B,A,A,B,B,A,A,B,B,B,B,A,B,B,B,A,A,A,B
141.1119902,0,0,0,B,B,A,A,B,B,A,A,B,A,B,B,B,A,B,B,A,B,B,B
139.6628817,0,0,0,B,B,A,A,B,B,A,A,A,B,B,A,B,B,A,A,A,A,B,B
142.7704356,0,0,0,B,B,A,A,B,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B
134.8754318,0,0,0,B,B,A,A,B,A,B,B,B,B,B,A,B,B,B,B,A,B,A,B
138.0493874,0,0,0,B,B,A,A,B,A,B,B,B,A,A,A,A,B,B,B,A,B,A,B
137.0874358,0,0,0,B,B,A,A,B,A,B,B,A,B,A,B,B,B,B,A,B,B,A,A
141.2362801,0,0,0,B,B,A,A,B,A,B,B,A,A,A,A,B,A,B,B,A,A,B,A
137.9617614,0,0,0,B,B,A,A,B,A,B,A,B,B,A,B,B,A,B,B,B,A,B,B
141.8130313,0,0,0,B,B,A,A,B,A,B,A,B,A,B,B,B,B,B,B,B,A,A,A
139.1353073,0,0,0,B,B,A,A,B,A,B,A,A,B,A,B,B,A,A,B,B,A,B,A
143.0042986,0,0,0,B,B,A,A,B,A,B,A,A,A,A,A,B,B,A,A,B,A,B,B
135.6283872,0,0,0,B,B,A,A,B,A,A,B,B,B,B,A,A,B,B,A,A,A,A,A
138.9617919,0,0,0,B,B,A,A,B,A,A,B,B,A,A,B,B,A,A,A,B,A,B,A
137.6460174,0,0,0,B,B,A,A,B,A,A,B,A,B,B,B,A,A,B,B,B,A,A,A
140.6562782,0,0,0,B,B,A,A,B,A,A,B,A,A,A,B,B,B,B,A,A,B,A,A
138.2301223,0,0,0,B,B,A,A,B,A,A,A,B,B,B,A,B,B,A,A,B,A,A,A
140.8652455,0,0,0,B,B,A,A,B,A,A,A,B,A,B,A,A,A,A,B,B,A,A,B
140.4251755,0,0,0,B,B,A,A,B,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A
144.0953785,0,0,0,B,B,A,A,B,A,A,A,A,A,B,A,A,B,B,B,B,B,B,A
136.4867681,0,0,0,B,B,A,A,A,B,B,B,B,B,B,B,B,A,B,B,A,A,A,B
139.5991224,0,0,0,B,B,A,A,A,B,B,B,B,A,B,B,A,B,A,B,B,B,B,B
139.0399866,0,0,0,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,B,A
139.1504079,0,0,0,B,B,A,A,A,B,B,B,A,A,B,A,A,B,B,A,A,B,A,B
139.7968312,0,0,0,B,B,A,A,A,B,B,A,B,B,A,A,A,B,A,B,B,A,B,A
141.9672146,0,0,0,B,B,A,A,A,B,B,A,B,A,B,A,A,B,A,A,A,B,A,A
141.4433621,0,0,0,B,B,A,A,A,B,B,A,A,B,A,B,A,A,B,A,B,B,B,A
144.6444677,0,0,0,B,B,A,A,A,B,B,A,A,A,A,A,B,B,B,A,A,B,B,B
137.2880227,0,0,0,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B
140.0515111,0,0,0,B,B,A,A,A,B,A,B,B,A,B,A,B,B,B,B,A,A,A,B
138.6780824,0,0,0,B,B,A,A,A,B,A,B,A,B,A,B,B,A,A,A,A,A,A,B
142.6157229,0,0,0,B,B,A,A,A,B,A,B,A,A,A,A,B,B,A,B,B,B,A,B
140.5218995,0,0,0,B,B,A,A,A,B,A,A,B,B,B,A,A,B,B,B,B,A,A,B
142.9462202,0,0,0,B,B,A,A,A,B,A,A,B,A,B,A,A,A,A,B,B,A,A,B
142.3174952,0,0,0,B,B,A,A,A,B,A,A,A,B,A,A,A,B,A,B,B,A,B,B
144.2851934,0,0,0,B,B,A,A,A,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B
137.1888396,0,0,0,B,B,A,A,A,A,B,B,B,B,A,B,B,B,A,B,A,A,B,B
140.2030442,0,0,0,B,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,B,B,A,B
138.1933363,0,0,0,B,B,A,A,A,A,B,B,A,B,A,B,A,B,B,B,A,B,A,B
143.11593,0,0,0,B,B,A,A,A,A,B,B,A,A,B,A,A,B,B,B,B,A,B,B
139.9077136,0,0,0,B,B,A,A,A,A,B,A,B,B,B,A,B,B,B,B,A,A,A,A
143.6592197,0,0,0,B,B,A,A,A,A,B,A,B,A,B,A,B,B,A,A,B,B,A,A
142.5896236,0,0,0,B,B,A,A,A,A,B,A,A,B,A,A,B,A,A,B,B,B,A,A
146.0577005,0,0,0,B,B,A,A,A,A,B,A,A,A,A,B,B,B,B,B,A,A,A,B
138.2830035,0,0,0,B,B,A,A,A,A,A,B,B,B,B,A,A,B,A,B,B,A,B,A
142.5203704,0,0,0,B,B,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,A,B,A
141.1653313,0,0,0,B,B,A,A,A,A,A,B,A,B,A,A,B,A,A,B,A,B,A,B
143.5751288,0,0,0,B,B,A,A,A,A,A,B,A,A,B,B,B,A,B,A,B,B,B,A
142.0909775,0,0,0,B,B,A,A,A,A,A,A,B,B,B,A,A,A,B,A,B,A,A,A
144.1701626,0,0,0,B,B,A,A,A,A,A,A,B,A,B,B,A,B,B,A,B,B,A,B
143.5800543,0,0,0,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,B,A,B,A,B
145.6462809,0,0,0,B,B,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A
71.38848553,0,0,0,B,A,B,B,B,B,B,B,B,B,B,A,B,A,A,B,A,A,A,A
76.26702476,0,0,0,B,A,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,A,B,B
73.74837783,0,0,0,B,A,B,B,B,B,B,B,A,B,B,A,B,B,A,B,A,B,B,B
77.81082639,0,0,0,B,A,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,A,A,A
74.10194174,0,0,0,B,A,B,B,B,B,B,A,B,B,A,A,B,B,A,A,B,B,B,A
79.16145619,0,0,0,B,A,B,B,B,B,B,A,B,A,B,B,A,A,A,A,B,A,A,A
76.27922394,0,0,0,B,A,B,B,B,B,B,A,A,B,B,A,A,B,A,A,B,A,A,B
79.29474036,0,0,0,B,A,B,B,B,B,B,A,A,A,B,B,A,B,B,B,B,A,B,A
