"","height_data","i","j","k","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Height.94",79.9511264177901,0,0,0,0,0,0,1,0,1,1,1,1,0
"Height.95",83.0576917070672,0,0,0,0,0,0,1,0,1,1,1,1,1
"Height.96",76.2930663591677,0,0,0,0,0,0,1,1,0,0,0,0,0
"Height.97",78.3765853036221,0,0,0,0,0,0,1,1,0,0,0,0,1
"Height.98",76.7264632870835,0,0,0,0,0,0,1,1,0,0,0,1,0
"Height.99",81.3259864847442,0,0,0,0,0,0,1,1,0,0,0,1,1
"Height.100",78.9828237263196,0,0,0,0,0,0,1,1,0,0,1,0,0
"Height.101",80.3560839342514,0,0,0,0,0,0,1,1,0,0,1,0,1
"Height.102",80.6827042150751,0,0,0,0,0,0,1,1,0,0,1,1,0
"Height.103",82.5789592142983,0,0,0,0,0,0,1,1,0,0,1,1,1
"Height.104",74.8539371591019,0,0,0,0,0,0,1,1,0,1,0,0,0
"Height.105",80.5314502305667,0,0,0,0,0,0,1,1,0,1,0,0,1
"Height.106",77.7735376318496,0,0,0,0,0,0,1,1,0,1,0,1,0
"Height.107",82.4792264070747,0,0,0,0,0,0,1,1,0,1,0,1,1
"Height.108",78.8978875353397,0,0,0,0,0,0,1,1,0,1,1,0,0
"Height.109",81.4438077413779,0,0,0,0,0,0,1,1,0,1,1,0,1
"Height.110",80.204749485603,0,0,0,0,0,0,1,1,0,1,1,1,0
"Height.111",83.7633736669576,0,0,0,0,0,0,1,1,0,1,1,1,1
"Height.112",77.3599032833253,0,0,0,0,0,0,1,1,1,0,0,0,0
"Height.113",79.9834671373965,0,0,0,0,0,0,1,1,1,0,0,0,1
"Height.114",79.5651330435614,0,0,0,0,0,0,1,1,1,0,0,1,0
"Height.115",81.6668827413933,0,0,0,0,0,0,1,1,1,0,0,1,1
"Height.116",80.6582849580855,0,0,0,0,0,0,1,1,1,0,1,0,0
"Height.117",82.8117719129772,0,0,0,0,0,0,1,1,1,0,1,0,1
"Height.118",82.520957683447,0,0,0,0,0,0,1,1,1,0,1,1,0
"Height.119",84.1773872787621,0,0,0,0,0,0,1,1,1,0,1,1,1
"Height.120",77.7947925817592,0,0,0,0,0,0,1,1,1,1,0,0,0
"Height.121",81.4505024224804,0,0,0,0,0,0,1,1,1,1,0,0,1
"Height.122",79.8968593490814,0,0,0,0,0,0,1,1,1,1,0,1,0
"Height.123",83.7535315116263,0,0,0,0,0,0,1,1,1,1,0,1,1
"Height.124",80.5301965770134,0,0,0,0,0,0,1,1,1,1,1,0,0
"Height.125",84.7330098884801,0,0,0,0,0,0,1,1,1,1,1,0,1
"Height.126",82.7420854736286,0,0,0,0,0,0,1,1,1,1,1,1,0
"Height.127",85.2995258241456,0,0,0,0,0,0,1,1,1,1,1,1,1
"Height.128",74.6482470121359,0,0,0,0,0,1,0,0,0,0,0,0,0
"Height.129",76.0298917441847,0,0,0,0,0,1,0,0,0,0,0,0,1
"Height.130",74.6291379610477,0,0,0,0,0,1,0,0,0,0,0,1,0
"Height.131",78.5250192100398,0,0,0,0,0,1,0,0,0,0,0,1,1
"Height.132",75.9930378559582,0,0,0,0,0,1,0,0,0,0,1,0,0
"Height.133",79.4049814399908,0,0,0,0,0,1,0,0,0,0,1,0,1
"Height.134",77.6482830394041,0,0,0,0,0,1,0,0,0,0,1,1,0
"Height.135",82.1463860613273,0,0,0,0,0,1,0,0,0,0,1,1,1
"Height.136",74.2298478922107,0,0,0,0,0,1,0,0,0,1,0,0,0
"Height.137",75.9317750553532,0,0,0,0,0,1,0,0,0,1,0,0,1
"Height.138",77.1462286919338,0,0,0,0,0,1,0,0,0,1,0,1,0
"Height.139",80.2378509022161,0,0,0,0,0,1,0,0,0,1,0,1,1
"Height.140",77.9861001323802,0,0,0,0,0,1,0,0,0,1,1,0,0
"Height.141",79.9013608189117,0,0,0,0,0,1,0,0,0,1,1,0,1
"Height.142",78.3722814654438,0,0,0,0,0,1,0,0,0,1,1,1,0
"Height.143",82.0131266483529,0,0,0,0,0,1,0,0,0,1,1,1,1
"Height.144",76.3490026557057,0,0,0,0,0,1,0,0,1,0,0,0,0
"Height.145",79.1407041524069,0,0,0,0,0,1,0,0,1,0,0,0,1
"Height.146",77.0632883937268,0,0,0,0,0,1,0,0,1,0,0,1,0
"Height.147",79.4453332567541,0,0,0,0,0,1,0,0,1,0,0,1,1
"Height.148",78.6336477991941,0,0,0,0,0,1,0,0,1,0,1,0,0
"Height.149",81.0845959235869,0,0,0,0,0,1,0,0,1,0,1,0,1
"Height.150",80.0380120515608,0,0,0,0,0,1,0,0,1,0,1,1,0
"Height.151",83.0582631477849,0,0,0,0,0,1,0,0,1,0,1,1,1
"Height.152",76.4165263303789,0,0,0,0,0,1,0,0,1,1,0,0,0
"Height.153",79.3538001396568,0,0,0,0,0,1,0,0,1,1,0,0,1
"Height.154",79.4499192609811,0,0,0,0,0,1,0,0,1,1,0,1,0
"Height.155",81.128028439285,0,0,0,0,0,1,0,0,1,1,0,1,1
"Height.156",79.3787193285554,0,0,0,0,0,1,0,0,1,1,1,0,0
"Height.157",81.5043481211936,0,0,0,0,0,1,0,0,1,1,1,0,1
"Height.158",81.2094021624442,0,0,0,0,0,1,0,0,1,1,1,1,0
"Height.159",84.2460020396153,0,0,0,0,0,1,0,0,1,1,1,1,1
"Height.160",76.5415480424079,0,0,0,0,0,1,0,1,0,0,0,0,0
"Height.161",79.0244030640375,0,0,0,0,0,1,0,1,0,0,0,0,1
"Height.162",78.2694938725655,0,0,0,0,0,1,0,1,0,0,0,1,0
"Height.163",81.8892643903857,0,0,0,0,0,1,0,1,0,0,0,1,1
"Height.164",78.4735929366187,0,0,0,0,0,1,0,1,0,0,1,0,0
"Height.165",82.3539967473709,0,0,0,0,0,1,0,1,0,0,1,0,1
"Height.166",80.9257198782798,0,0,0,0,0,1,0,1,0,0,1,1,0
"Height.167",84.7886597349463,0,0,0,0,0,1,0,1,0,0,1,1,1
"Height.168",76.7224972870454,0,0,0,0,0,1,0,1,0,1,0,0,0
"Height.169",79.3972288444355,0,0,0,0,0,1,0,1,0,1,0,0,1
"Height.170",78.9131281120377,0,0,0,0,0,1,0,1,0,1,0,1,0
"Height.171",82.3057360902879,0,0,0,0,0,1,0,1,0,1,0,1,1
"Height.172",78.5416405155128,0,0,0,0,0,1,0,1,0,1,1,0,0
"Height.173",81.0744670645714,0,0,0,0,0,1,0,1,0,1,1,0,1
"Height.174",80.3176091150135,0,0,0,0,0,1,0,1,0,1,1,1,0
"Height.175",84.763219938633,0,0,0,0,0,1,0,1,0,1,1,1,1
"Height.176",77.6117538499802,0,0,0,0,0,1,0,1,1,0,0,0,0
"Height.177",80.430233959468,0,0,0,0,0,1,0,1,1,0,0,0,1
"Height.178",80.2282540257815,0,0,0,0,0,1,0,1,1,0,0,1,0
"Height.179",81.3697538582204,0,0,0,0,0,1,0,1,1,0,0,1,1
"Height.180",80.7521268155642,0,0,0,0,0,1,0,1,1,0,1,0,0
"Height.181",84.3486067181479,0,0,0,0,0,1,0,1,1,0,1,0,1
"Height.182",82.7667716325256,0,0,0,0,0,1,0,1,1,0,1,1,0
"Height.183",85.4365677913844,0,0,0,0,0,1,0,1,1,0,1,1,1
"Height.184",79.0030250808705,0,0,0,0,0,1,0,1,1,1,0,0,0
"Height.185",81.7325672708994,0,0,0,0,0,1,0,1,1,1,0,0,1
"Height.186",79.0898348966237,0,0,0,0,0,1,0,1,1,1,0,1,0
"Height.187",83.9128222685826,0,0,0,0,0,1,0,1,1,1,0,1,1
"Height.188",81.1261897253389,0,0,0,0,0,1,0,1,1,1,1,0,0
"Height.189",84.608148792285,0,0,0,0,0,1,0,1,1,1,1,0,1
"Height.190",83.1170639290198,0,0,0,0,0,1,0,1,1,1,1,1,0
"Height.191",87.3023241905539,0,0,0,0,0,1,0,1,1,1,1,1,1
"Height.192",77.3585561849507,0,0,0,0,0,1,1,0,0,0,0,0,0
"Height.193",79.8110220631868,0,0,0,0,0,1,1,0,0,0,0,0,1
"Height.194",79.8513986045728,0,0,0,0,0,1,1,0,0,0,0,1,0
"Height.195",80.4276185637831,0,0,0,0,0,1,1,0,0,0,0,1,1
"Height.196",78.9859460286319,0,0,0,0,0,1,1,0,0,0,1,0,0
"Height.197",83.5341400629312,0,0,0,0,0,1,1,0,0,0,1,0,1
"Height.198",80.8285912098249,0,0,0,0,0,1,1,0,0,0,1,1,0
"Height.199",84.7430467217448,0,0,0,0,0,1,1,0,0,0,1,1,1
"Height.200",76.1849002382672,0,0,0,0,0,1,1,0,0,1,0,0,0
"Height.201",80.8399972422326,0,0,0,0,0,1,1,0,0,1,0,0,1
"Height.202",80.2879679338374,0,0,0,0,0,1,1,0,0,1,0,1,0
"Height.203",83.2723176317196,0,0,0,0,0,1,1,0,0,1,0,1,1
"Height.204",79.4574126112304,0,0,0,0,0,1,1,0,0,1,1,0,0
"Height.205",84.4592869944738,0,0,0,0,0,1,1,0,0,1,1,0,1
"Height.206",81.844881715081,0,0,0,0,0,1,1,0,0,1,1,1,0
"Height.207",85.6249253869584,0,0,0,0,0,1,1,0,0,1,1,1,1
"Height.208",78.6695618218524,0,0,0,0,0,1,1,0,1,0,0,0,0
"Height.209",80.7741376320805,0,0,0,0,0,1,1,0,1,0,0,0,1
"Height.210",79.9916151451647,0,0,0,0,0,1,1,0,1,0,0,1,0
"Height.211",84.1368041219266,0,0,0,0,0,1,1,0,1,0,0,1,1
"Height.212",81.8511457485117,0,0,0,0,0,1,1,0,1,0,1,0,0
"Height.213",84.1976174352873,0,0,0,0,0,1,1,0,1,0,1,0,1
"Height.214",81.955841241094,0,0,0,0,0,1,1,0,1,0,1,1,0
"Height.215",86.718693813175,0,0,0,0,0,1,1,0,1,0,1,1,1
"Height.216",78.3155226420941,0,0,0,0,0,1,1,0,1,1,0,0,0
"Height.217",82.1883212668113,0,0,0,0,0,1,1,0,1,1,0,0,1
"Height.218",81.369912238827,0,0,0,0,0,1,1,0,1,1,0,1,0
"Height.219",84.3150371312647,0,0,0,0,0,1,1,0,1,1,0,1,1
"Height.220",80.6353711440057,0,0,0,0,0,1,1,0,1,1,1,0,0
"Height.221",84.9746577304923,0,0,0,0,0,1,1,0,1,1,1,0,1
"Height.222",83.6345723147295,0,0,0,0,0,1,1,0,1,1,1,1,0
"Height.223",86.5727516841318,0,0,0,0,0,1,1,0,1,1,1,1,1
"Height.224",79.1077342232123,0,0,0,0,0,1,1,1,0,0,0,0,0
"Height.225",82.0699444368897,0,0,0,0,0,1,1,1,0,0,0,0,1
"Height.226",80.986971249199,0,0,0,0,0,1,1,1,0,0,0,1,0
"Height.227",85.8518827366629,0,0,0,0,0,1,1,1,0,0,0,1,1
"Height.228",83.328824213972,0,0,0,0,0,1,1,1,0,0,1,0,0
"Height.229",85.8612658973254,0,0,0,0,0,1,1,1,0,0,1,0,1
"Height.230",83.1997869854148,0,0,0,0,0,1,1,1,0,0,1,1,0
"Height.231",86.9671125054693,0,0,0,0,0,1,1,1,0,0,1,1,1
"Height.232",79.9212435553495,0,0,0,0,0,1,1,1,0,1,0,0,0
"Height.233",82.832446641726,0,0,0,0,0,1,1,1,0,1,0,0,1
"Height.234",81.6730692238486,0,0,0,0,0,1,1,1,0,1,0,1,0
"Height.235",84.5455291393244,0,0,0,0,0,1,1,1,0,1,0,1,1
"Height.236",83.6627319420437,0,0,0,0,0,1,1,1,0,1,1,0,0
"Height.237",85.2104170595996,0,0,0,0,0,1,1,1,0,1,1,0,1
"Height.238",83.914778191874,0,0,0,0,0,1,1,1,0,1,1,1,0
"Height.239",88.0029805948693,0,0,0,0,0,1,1,1,0,1,1,1,1
"Height.240",81.3923351994366,0,0,0,0,0,1,1,1,1,0,0,0,0
"Height.241",83.7970990456923,0,0,0,0,0,1,1,1,1,0,0,0,1
"Height.242",82.468566235779,0,0,0,0,0,1,1,1,1,0,0,1,0
"Height.243",86.4684574147218,0,0,0,0,0,1,1,1,1,0,0,1,1
"Height.244",82.9847591002175,0,0,0,0,0,1,1,1,1,0,1,0,0
"Height.245",86.2467764462981,0,0,0,0,0,1,1,1,1,0,1,0,1
"Height.246",85.7896457041362,0,0,0,0,0,1,1,1,1,0,1,1,0
"Height.247",88.6433558439755,0,0,0,0,0,1,1,1,1,0,1,1,1
"Height.248",81.2180957508365,0,0,0,0,0,1,1,1,1,1,0,0,0
"Height.249",85.3491403161726,0,0,0,0,0,1,1,1,1,1,0,0,1
"Height.250",83.6807075228351,0,0,0,0,0,1,1,1,1,1,0,1,0
"Height.251",87.4408871645677,0,0,0,0,0,1,1,1,1,1,0,1,1
"Height.252",84.6015027003618,0,0,0,0,0,1,1,1,1,1,1,0,0
"Height.253",89.1885471190634,0,0,0,0,0,1,1,1,1,1,1,0,1
"Height.254",86.9284894449816,0,0,0,0,0,1,1,1,1,1,1,1,0
"Height.255",90.4646757064401,0,0,0,0,0,1,1,1,1,1,1,1,1
"Height.256",72.021197113846,0,0,0,0,1,0,0,0,0,0,0,0,0
"Height.257",75.3127871986331,0,0,0,0,1,0,0,0,0,0,0,0,1
"Height.258",72.6455354064836,0,0,0,0,1,0,0,0,0,0,0,1,0
"Height.259",77.7700408633667,0,0,0,0,1,0,0,0,0,0,0,1,1
"Height.260",75.5310771639976,0,0,0,0,1,0,0,0,0,0,1,0,0
"Height.261",77.7498917614735,0,0,0,0,1,0,0,0,0,0,1,0,1
"Height.262",76.0087128218318,0,0,0,0,1,0,0,0,0,0,1,1,0
"Height.263",81.0046664254526,0,0,0,0,1,0,0,0,0,0,1,1,1
"Height.264",73.6558601484823,0,0,0,0,1,0,0,0,0,1,0,0,0
"Height.265",75.2319100969317,0,0,0,0,1,0,0,0,0,1,0,0,1
"Height.266",75.1714954333546,0,0,0,0,1,0,0,0,0,1,0,1,0
"Height.267",79.3635379899027,0,0,0,0,1,0,0,0,0,1,0,1,1
"Height.268",75.8910539815292,0,0,0,0,1,0,0,0,0,1,1,0,0
"Height.269",78.8839984101875,0,0,0,0,1,0,0,0,0,1,1,0,1
"Height.270",78.3893202781443,0,0,0,0,1,0,0,0,0,1,1,1,0
"Height.271",80.1204919626879,0,0,0,0,1,0,0,0,0,1,1,1,1
"Height.272",73.1549804162553,0,0,0,0,1,0,0,0,1,0,0,0,0
"Height.273",77.5234248682427,0,0,0,0,1,0,0,0,1,0,0,0,1
"Height.274",75.8419312059681,0,0,0,0,1,0,0,0,1,0,0,1,0
"Height.275",79.4445642118404,0,0,0,0,1,0,0,0,1,0,0,1,1
"Height.276",75.6953662624303,0,0,0,0,1,0,0,0,1,0,1,0,0
"Height.277",79.8730629954848,0,0,0,0,1,0,0,0,1,0,1,0,1
"Height.278",78.5933719616078,0,0,0,0,1,0,0,0,1,0,1,1,0
"Height.279",81.8095367752979,0,0,0,0,1,0,0,0,1,0,1,1,1
"Height.280",73.787128204275,0,0,0,0,1,0,0,0,1,1,0,0,0
"Height.281",77.4686179163803,0,0,0,0,1,0,0,0,1,1,0,0,1
"Height.282",75.7340598098354,0,0,0,0,1,0,0,0,1,1,0,1,0
"Height.283",79.9404762229483,0,0,0,0,1,0,0,0,1,1,0,1,1
"Height.284",76.6973314971354,0,0,0,0,1,0,0,0,1,1,1,0,0
"Height.285",79.4499626053003,0,0,0,0,1,0,0,0,1,1,1,0,1
"Height.286",78.5295469820123,0,0,0,0,1,0,0,0,1,1,1,1,0
"Height.287",81.9822364822506,0,0,0,0,1,0,0,0,1,1,1,1,1
"Height.288",75.0633239228704,0,0,0,0,1,0,0,1,0,0,0,0,0
"Height.289",77.6635715179619,0,0,0,0,1,0,0,1,0,0,0,0,1
"Height.290",77.1165292903634,0,0,0,0,1,0,0,1,0,0,0,1,0
"Height.291",78.4388525050334,0,0,0,0,1,0,0,1,0,0,0,1,1
"Height.292",77.3967968386153,0,0,0,0,1,0,0,1,0,0,1,0,0
"Height.293",79.2399713514819,0,0,0,0,1,0,0,1,0,0,1,0,1
"Height.294",79.9116336270948,0,0,0,0,1,0,0,1,0,0,1,1,0
"Height.295",83.2255340358563,0,0,0,0,1,0,0,1,0,0,1,1,1
"Height.296",74.5028067680115,0,0,0,0,1,0,0,1,0,1,0,0,0
"Height.297",78.166369128234,0,0,0,0,1,0,0,1,0,1,0,0,1
"Height.298",78.5228368639465,0,0,0,0,1,0,0,1,0,1,0,1,0
"Height.299",80.0082896631252,0,0,0,0,1,0,0,1,0,1,0,1,1
"Height.300",78.1217464098931,0,0,0,0,1,0,0,1,0,1,1,0,0
"Height.301",81.7039561428218,0,0,0,0,1,0,0,1,0,1,1,0,1
"Height.302",79.3240523555824,0,0,0,0,1,0,0,1,0,1,1,1,0
"Height.303",83.7875994426888,0,0,0,0,1,0,0,1,0,1,1,1,1
"Height.304",74.9377695192826,0,0,0,0,1,0,0,1,1,0,0,0,0
"Height.305",79.1209918061028,0,0,0,0,1,0,0,1,1,0,0,0,1
"Height.306",77.4038485352292,0,0,0,0,1,0,0,1,1,0,0,1,0
"Height.307",81.0493740311285,0,0,0,0,1,0,0,1,1,0,0,1,1
"Height.308",77.9215670418166,0,0,0,0,1,0,0,1,1,0,1,0,0
"Height.309",82.1882672375063,0,0,0,0,1,0,0,1,1,0,1,0,1
"Height.310",80.7197704843975,0,0,0,0,1,0,0,1,1,0,1,1,0
"Height.311",84.2412604329108,0,0,0,0,1,0,0,1,1,0,1,1,1
"Height.312",77.5114493614998,0,0,0,0,1,0,0,1,1,1,0,0,0
"Height.313",80.0869504392751,0,0,0,0,1,0,0,1,1,1,0,0,1
"Height.314",78.7752434746882,0,0,0,0,1,0,0,1,1,1,0,1,0
"Height.315",82.0840388552463,0,0,0,0,1,0,0,1,1,1,0,1,1
"Height.316",79.306435686351,0,0,0,0,1,0,0,1,1,1,1,0,0
"Height.317",82.6803878162605,0,0,0,0,1,0,0,1,1,1,1,0,1
"Height.318",82.3371570328251,0,0,0,0,1,0,0,1,1,1,1,1,0
"Height.319",84.4943338181644,0,0,0,0,1,0,0,1,1,1,1,1,1
"Height.320",75.2086796908871,0,0,0,0,1,0,1,0,0,0,0,0,0
"Height.321",77.3984879946401,0,0,0,0,1,0,1,0,0,0,0,0,1
"Height.322",75.7584739993866,0,0,0,0,1,0,1,0,0,0,0,1,0
"Height.323",80.9972004523232,0,0,0,0,1,0,1,0,0,0,0,1,1
"Height.324",77.1855128365789,0,0,0,0,1,0,1,0,0,0,1,0,0
"Height.325",79.7108345781167,0,0,0,0,1,0,1,0,0,0,1,0,1
"Height.326",79.6734938050579,0,0,0,0,1,0,1,0,0,0,1,1,0
"Height.327",83.7975233814667,0,0,0,0,1,0,1,0,0,0,1,1,1
"Height.328",75.3773418132262,0,0,0,0,1,0,1,0,0,1,0,0,0
"Height.329",79.138822594248,0,0,0,0,1,0,1,0,0,1,0,0,1
"Height.330",77.4642442232995,0,0,0,0,1,0,1,0,0,1,0,1,0
"Height.331",81.1566755775156,0,0,0,0,1,0,1,0,0,1,0,1,1
"Height.332",78.2341947227408,0,0,0,0,1,0,1,0,0,1,1,0,0
"Height.333",81.9574465698569,0,0,0,0,1,0,1,0,0,1,1,0,1
"Height.334",81.784514777965,0,0,0,0,1,0,1,0,0,1,1,1,0
"Height.335",84.3834182151253,0,0,0,0,1,0,1,0,0,1,1,1,1
"Height.336",76.1144775214417,0,0,0,0,1,0,1,0,1,0,0,0,0
"Height.337",80.3209226240091,0,0,0,0,1,0,1,0,1,0,0,0,1
"Height.338",78.0638800933695,0,0,0,0,1,0,1,0,1,0,0,1,0
"Height.339",81.4799722826977,0,0,0,0,1,0,1,0,1,0,0,1,1
"Height.340",79.3289929544886,0,0,0,0,1,0,1,0,1,0,1,0,0
"Height.341",82.0478695178673,0,0,0,0,1,0,1,0,1,0,1,0,1
"Height.342",81.0705430760688,0,0,0,0,1,0,1,0,1,0,1,1,0
"Height.343",83.4184546969472,0,0,0,0,1,0,1,0,1,0,1,1,1
"Height.344",76.4483542828552,0,0,0,0,1,0,1,0,1,1,0,0,0
"Height.345",79.7575250953917,0,0,0,0,1,0,1,0,1,1,0,0,1
"Height.346",80.4872550731423,0,0,0,0,1,0,1,0,1,1,0,1,0
"Height.347",82.4465423836842,0,0,0,0,1,0,1,0,1,1,0,1,1
